class_year	2020	
ac	134	
pds	62	
epts	18	
cd	50	
cud	55	
sjc	101	
tu	80	
md	90	
phs	4	
muids	5	
sg	99	
bcc	167	
skip	17	
kus	45	
mwits	25	unsure
wwa	145	
sw	115	
asc	104	
ss	64	
