class_year	2024	
cu-bba	25	
cu-bascii	2	
cu	104	
cu-commarts-i	56	
cu-nitade	56	
tu-llb	7	
tu-bba	29	unsure
med-rama	56	
MDPCCMSxUCL	1	
md-siriraj	131	
